date,title,detail_url,pdf_url,page_no,scraped_at
"Feb 05, 2026",Adjudication Order in respect of Archana Agarwal in the matter of dealings in Illiquid Stock Options on BSE,https://www.sebi.gov.in/enforcement/orders/feb-2026/adjudication-order-in-respect-of-archana-agarwal-in-the-matter-of-dealings-in-illiquid-stock-options-on-bse_99540.html,https://www.sebi.gov.in/sebi_data/attachdocs/feb-2026/ORDER_1770288342.pdf,4,2026-04-18T23:00:02.073133
"Feb 05, 2026",Adjudication order in the matter of Ashapura Minechem Limited,https://www.sebi.gov.in/enforcement/orders/feb-2026/adjudication-order-in-the-matter-of-ashapura-minechem-limited_99536.html,https://www.sebi.gov.in/sebi_data/attachdocs/feb-2026/ORDER_1770271586.pdf,4,2026-04-18T23:00:09.840453
"Feb 04, 2026",Adjudication Order in respect of Nilesh Pramodbhai Shah HUF in the matter of dealings in Illiquid Stock Options on BSE,https://www.sebi.gov.in/enforcement/orders/feb-2026/adjudication-order-in-respect-of-nilesh-pramodbhai-shah-huf-in-the-matter-of-dealings-in-illiquid-stock-options-on-bse_99511.html,https://www.sebi.gov.in/sebi_data/attachdocs/feb-2026/ORDER_1770194861.pdf,4,2026-04-18T23:00:17.505670
"Feb 04, 2026",Adjudication Order in respect of Ravi Ludhiyani HUF in the matter of dealings in Illiquid Stock Options on BSE,https://www.sebi.gov.in/enforcement/orders/feb-2026/adjudication-order-in-respect-of-ravi-ludhiyani-huf-in-the-matter-of-dealings-in-illiquid-stock-options-on-bse_99513.html,https://www.sebi.gov.in/sebi_data/attachdocs/feb-2026/ORDER_1770197832.pdf,4,2026-04-18T23:00:25.018815
"Feb 04, 2026",Adjudication Order in the matter of Pragnya Fund II,https://www.sebi.gov.in/enforcement/orders/feb-2026/adjudication-order-in-the-matter-of-pragnya-fund-ii_99509.html,https://www.sebi.gov.in/sebi_data/attachdocs/feb-2026/ORDER_1770188864.pdf,4,2026-04-18T23:00:31.978615
"Feb 03, 2026",Adjudication Order in respect of Amit S Yadav in the matter of dealings in Illiquid Stock Options on BSE,https://www.sebi.gov.in/enforcement/orders/feb-2026/adjudication-order-in-respect-of-amit-s-yadav-in-the-matter-of-dealings-in-illiquid-stock-options-on-bse_99473.html,https://www.sebi.gov.in/sebi_data/attachdocs/feb-2026/ORDER_1770115257.pdf,4,2026-04-18T23:00:42.038656
"Feb 02, 2026",Adjudication Order in respect of Anil N Pacholi in the matter of dealings in Illiquid Stock Options on BSE,https://www.sebi.gov.in/enforcement/orders/feb-2026/adjudication-order-in-respect-of-anil-n-pacholi-in-the-matter-of-dealings-in-illiquid-stock-options-on-bse_99446.html,../../../web/?file=https://www.sebi.gov.in/sebi_data/attachdocs/feb-2026/1770200776475.pdf,4,2026-04-18T23:00:49.362457
"Jan 30, 2026",Adjudication Order in respect of Sandeep Agarwal HUF in the matter of dealings in Illiquid Stock Options on BSE,https://www.sebi.gov.in/enforcement/orders/jan-2026/adjudication-order-in-respect-of-sandeep-agarwal-huf-in-the-matter-of-dealings-in-illiquid-stock-options-on-bse_99426.html,https://www.sebi.gov.in/sebi_data/attachdocs/jan-2026/ORDER_1769764780.pdf,4,2026-04-18T23:00:56.531124
"Jan 30, 2026",Adjudication Order in respect of Vineet Rajkumar Chopda HUF in the matter of dealings in Illiquid Stock Options on BSE,https://www.sebi.gov.in/enforcement/orders/jan-2026/adjudication-order-in-respect-of-vineet-rajkumar-chopda-huf-in-the-matter-of-dealings-in-illiquid-stock-options-on-bse_99428.html,https://www.sebi.gov.in/sebi_data/attachdocs/jan-2026/ORDER_1769765895.pdf,4,2026-04-18T23:01:04.075011
"Jan 30, 2026",Adjudication Order in the matter of execution of three-way reversals by certain entities in Illiquid Stock Options segment contract on NSE,https://www.sebi.gov.in/enforcement/orders/jan-2026/adjudication-order-in-the-matter-of-execution-of-three-way-reversals-by-certain-entities-in-illiquid-stock-options-segment-contract-on-nse_99424.html,https://www.sebi.gov.in/sebi_data/attachdocs/jan-2026/ORDER_1769756731.pdf,4,2026-04-18T23:01:12.985506
"Jan 30, 2026",Adjudication Order in respect of Bimala Joshi in the matter of dealings in Illiquid Stock Options on BSE,https://www.sebi.gov.in/enforcement/orders/jan-2026/adjudication-order-in-respect-of-bimala-joshi-in-the-matter-of-dealings-in-illiquid-stock-options-on-bse_99392.html,https://www.sebi.gov.in/sebi_data/attachdocs/jan-2026/ORDER_1769767672.pdf,4,2026-04-18T23:01:19.909651
"Jan 30, 2026",Adjudication Order in respect of Padmavathi Darak in the matter of trading in Illiquid Stock Options at BSE,https://www.sebi.gov.in/enforcement/orders/jan-2026/adjudication-order-in-respect-of-padmavathi-darak-in-the-matter-of-trading-in-illiquid-stock-options-at-bse_99390.html,https://www.sebi.gov.in/sebi_data/attachdocs/jan-2026/ORDER_1769765182.pdf,4,2026-04-18T23:01:27.213319
"Jan 30, 2026",Adjudication Order in respect of Ratan Lal Rathi in the matter of dealings in Illiquid Stock Options on BSE,https://www.sebi.gov.in/enforcement/orders/jan-2026/adjudication-order-in-respect-of-ratan-lal-rathi-in-the-matter-of-dealings-in-illiquid-stock-options-on-bse_99387.html,https://www.sebi.gov.in/sebi_data/attachdocs/jan-2026/ORDER_1769749934.pdf,4,2026-04-18T23:01:36.418786
"Jan 28, 2026",Adjudication Order in respect of Agomoni Commercial Private Limited in the matter of Illiquid Stock Options,https://www.sebi.gov.in/enforcement/orders/jan-2026/adjudication-order-in-respect-of-agomoni-commercial-private-limited-in-the-matter-of-illiquid-stock-options_99334.html,https://www.sebi.gov.in/sebi_data/attachdocs/jan-2026/ORDER_1769591962.pdf,4,2026-04-18T23:01:43.402175
"Jan 28, 2026",Adjudication Order in respect of Amanat Developers Private Limited in the matter of Illiquid Stock Options,https://www.sebi.gov.in/enforcement/orders/jan-2026/adjudication-order-in-respect-of-amanat-developers-private-limited-in-the-matter-of-illiquid-stock-options_99332.html,https://www.sebi.gov.in/sebi_data/attachdocs/jan-2026/ORDER_1769590139.pdf,4,2026-04-18T23:01:50.705877
"Jan 28, 2026",Adjudication Order in respect of Amit Kumar Agarwal HUF in the matter of Illiquid Stock Options,https://www.sebi.gov.in/enforcement/orders/jan-2026/adjudication-order-in-respect-of-amit-kumar-agarwal-huf-in-the-matter-of-illiquid-stock-options_99330.html,https://www.sebi.gov.in/sebi_data/attachdocs/jan-2026/ORDER_1769588900.pdf,5,2026-04-18T23:02:00.034772
"Jan 23, 2026",Adjudication Order in respect of Rajendra Madan Lal HUF in the matter of dealings in Illiquid Stock Options on BSE,https://www.sebi.gov.in/enforcement/orders/jan-2026/adjudication-order-in-respect-of-rajendra-madan-lal-huf-in-the-matter-of-dealings-in-illiquid-stock-options-on-bse_99289.html,https://www.sebi.gov.in/sebi_data/attachdocs/jan-2026/ORDER_1769148157.pdf,5,2026-04-18T23:02:08.031615
"Jan 22, 2026","Adjudication Order in the matter of Research Guru, Proprietor - Mrs. Veena Sharma",https://www.sebi.gov.in/enforcement/orders/jan-2026/adjudication-order-in-the-matter-of-research-guru-proprietor-mrs-veena-sharma_99254.html,https://www.sebi.gov.in/sebi_data/attachdocs/jan-2026/ORDER_1769058404.pdf,5,2026-04-18T23:02:15.732876
"Jan 22, 2026",Adjudication Order in respect of Ambaashree Infratech Pvt. Ltd. in the matter of dealings in Illiquid Stock Options on BSE,https://www.sebi.gov.in/enforcement/orders/jan-2026/adjudication-order-in-respect-of-ambaashree-infratech-pvt-ltd-in-the-matter-of-dealings-in-illiquid-stock-options-on-bse_99250.html,https://www.sebi.gov.in/sebi_data/attachdocs/jan-2026/ORDER_1769064993.pdf,5,2026-04-18T23:02:23.382629
"Jan 22, 2026",Adjudication Order in respect of Basundhara Marcom Pvt. Ltd. in the matter of dealings in Illiquid Stock Options on BSE,https://www.sebi.gov.in/enforcement/orders/jan-2026/adjudication-order-in-respect-of-basundhara-marcom-pvt-ltd-in-the-matter-of-dealings-in-illiquid-stock-options-on-bse-_99248.html,https://www.sebi.gov.in/sebi_data/attachdocs/jan-2026/ORDER_1769060002.pdf,5,2026-04-18T23:02:30.468475
"Jan 22, 2026",Adjudication Order in respect of Sanjay V Mohare HUF in the matter of dealings in Illiquid Stock Options on BSE,https://www.sebi.gov.in/enforcement/orders/jan-2026/adjudication-order-in-respect-of-sanjay-v-mohare-huf-in-the-matter-of-dealings-in-illiquid-stock-options-on-bse_99252.html,https://www.sebi.gov.in/sebi_data/attachdocs/jan-2026/ORDER_1769073375.pdf,5,2026-04-18T23:02:40.746944
"Jan 22, 2026",Adjudication Order in respect of Aashish Kumar Goenka in the matter of dealings in Illiquid Stock Options on BSE,https://www.sebi.gov.in/enforcement/orders/jan-2026/adjudication-order-in-respect-of-aashish-kumar-goenka-in-the-matter-of-dealings-in-illiquid-stock-options-on-bse-_99246.html,https://www.sebi.gov.in/sebi_data/attachdocs/jan-2026/ORDER_1769072358.pdf,5,2026-04-18T23:02:47.799385
"Jan 22, 2026",Adjudication Order in respect of Ranjeet Singh Baid HUF in the matter of dealings in Illiquid Stock Options on BSE,https://www.sebi.gov.in/enforcement/orders/jan-2026/adjudication-order-in-respect-of-ranjeet-singh-baid-huf-in-the-matter-of-dealings-in-illiquid-stock-options-on-bse_99244.html,https://www.sebi.gov.in/sebi_data/attachdocs/jan-2026/ORDER_1769063254.pdf,5,2026-04-18T23:02:55.062533
